50,68
50,68
50,68
50,68
50,69
49,69
53,71
69,89
105,127
128,149
139,165
143,171
145,168
158,164
153,171
151,172
131,156
99,136
83,121
71,101
72,100
68,73
68,71
68,69
67,69
68,66
67,66
67,66
67,66
67,67
72,70
93,88
127,128
150,148
162,162
167,164
168,162
170,170
164,170
164,167
145,155
138,132
146,139
127,143
106,142
98,102
72,71
72,67
71,68
68,68
68,68
68,68
68,68
69,70
68,73
83,94
114,132
134,161
150,167
154,171
160,175
156,175
152,177
151,179
137,166
113,132
100,136
95,125
90,116
79,94
78,78
77,77
76,76
75,76
75,75
75,74
76,74
76,75
79,78
93,94
128,129
156,154
170,168
177,170
175,166
179,161
183,167
177,169
158,161
140,162
147,195
146,191
146,187
90,118
92,83
92,78
92,77
93,77
93,76
93,76
93,76
93,76
92,81
93,107
94,142
96,158
96,164
94,169
93,167
93,178
95,180
96,178
97,165
91,147
86,173
87,171
85,163
84,88
85,84
85,81
85,80
84,79
86,79
86,79
86,79
87,79
86,83
94,93
128,156
137,173
137,177
133,185
130,121
125,125
122,112
117,107
110,94
89,85
79,77
78,75
75,75
77,72
77,70
78,71
77,71
76,71
76,71
76,71
76,71
77,71
77,70
79,74
95,96
98,99
100,100
93,98
92,98
95,109
92,113
93,98
78,87
68,84
63,77
66,76
69,80
70,82
70,82
68,83
68,83
68,83
68,83
68,83
69,83
69,84
71,85
89,100
127,141
149,162
165,184
171,188
168,184
164,187
171,181
172,180
156,170
136,151
121,141
101,134
100,125
73,94
71,92
69,90
69,92
66,92
66,92
66,92
66,92
67,93
70,99
88,112
128,148
148,166
162,176
164,182
162,188
170,193
170,188
167,180
155,175
132,158
139,178
143,173
142,167
102,136
71,94
67,93
68,92
68,92
68,92
68,92
68,91
70,90
73,94
94,112
132,155
161,176
167,186
171,190
175,183
175,188
177,186
179,179
166,166
132,138
136,140
125,132
116,131
94,100
78,85
77,84
76,84
76,83
75,83
74,83
74,83
75,83
78,89
94,107
129,141
154,164
168,180
170,183
166,180
161,184
167,179
169,178
161,171
162,165
195,209
191,205
187,196
118,122
83,96
78,91
77,87
77,87
76,87
76,87
76,87
76,87
81,88
107,111
142,144
158,156
164,160
169,171
167,171
178,169
180,169
178,161
165,145
147,137
173,134
171,128
163,125
88,86
84,82
81,78
80,78
79,77
79,77
79,77
79,77
79,78
83,79
93,94
156,114
173,121
177,126
185,127
121,111
125,111
112,107
107,98
94,93
85,89
77,89
75,87
75,86
72,76
70,77
71,77
71,76
71,77
71,77
71,77
71,77
71,77
70,77
74,76
96,91
99,95
100,95
98,93
98,93
109,94
113,96
98,90
87,79
84,80
77,76
76,72
80,74
82,76
82,78
83,78
83,79
83,79
83,79
83,79
83,79
84,79
85,82
100,108
141,146
162,168
184,176
188,184
184,180
187,184
181,177
180,176
170,170
151,150
141,168
134,155
125,147
94,121
92,84
90,84
92,83
92,81
92,81
92,81
92,81
93,81
99,83
112,109
148,142
166,165
176,176
182,173
188,175
193,179
188,178
180,175
175,173
158,141
178,160
173,163
167,145
136,118
94,88
93,88
92,85
92,85
92,85
92,85
91,85
90,85
94,93
112,109
155,144
176,164
186,182
190,179
183,173
188,175
186,169
179,168
166,158
138,146
140,164
132,160
131,151
100,137
85,90
84,87
84,85
83,84
83,84
83,84
83,84
83,85
89,90
107,107
141,148
164,168
180,180
183,178
180,178
184,173
179,174
178,180
171,166
165,160
209,184
205,185
196,150
122,109
96,91
91,91
87,90
87,90
87,90
87,90
87,91
87,91
88,97
111,117
144,153
156,167
160,179
171,183
171,176
169,175
169,175
161,170
145,164
137,148
134,153
128,153
125,123
86,87
82,87
78,87
78,87
77,87
77,87
77,87
77,87
78,87
79,89
94,99
114,147
121,166
126,166
127,168
111,135
111,131
107,127
98,119
93,113
89,98
89,89
87,89
86,92
76,78
77,80
77,83
76,83
77,83
77,82
77,82
77,82
77,81
77,82
76,82
91,97
95,107
95,103
93,94
93,95
94,97
96,98
90,96
79,93
80,87
76,84
72,82
74,84
76,85
78,88
78,85
79,85
79,85
79,85
79,85
79,86
79,86
82,89
108,111
146,149
168,174
176,185
184,191
180,199
184,193
177,192
176,188
170,178
150,163
168,160
155,162
147,159
121,144
84,95
84,94
83,93
81,93
81,93
81,93
81,94
81,94
83,98
109,120
142,162
165,178
176,187
173,189
175,193
179,196
178,198
175,196
173,177
141,159
160,153
163,145
145,144
118,111
88,95
88,91
85,92
85,91
85,91
85,91
85,92
85,93
93,97
109,118
144,156
164,168
182,174
179,176
173,185
175,181
169,182
168,181
158,167
146,153
164,167
160,169
151,165
137,150
90,95
87,94
85,93
84,92
84,92
84,92
84,91
85,92
90,98
107,114
148,150
168,176
180,189
178,187
178,184
173,184
174,189
180,180
166,171
160,163
184,182
185,180
