Date,Parking
9/10/2016,99
9/10/2016,97
9/11/2016,98
9/11/2016,98
9/11/2016,98
9/11/2016,98
9/11/2016,98
9/11/2016,100
9/11/2016,106
9/11/2016,110
9/11/2016,111
9/11/2016,114
9/11/2016,112
9/11/2016,114
9/11/2016,115
9/11/2016,119
9/11/2016,118
9/11/2016,116
9/11/2016,114
9/11/2016,100
9/11/2016,98
9/11/2016,97
9/11/2016,96
9/11/2016,97
9/11/2016,99
9/11/2016,99
9/12/2016,97
9/12/2016,97
9/12/2016,97
9/12/2016,98
9/12/2016,98
9/12/2016,96
9/12/2016,101
9/12/2016,126
9/12/2016,174
9/12/2016,198
9/12/2016,214
9/12/2016,217
9/12/2016,225
9/12/2016,229
9/12/2016,234
9/12/2016,233
9/12/2016,211
9/12/2016,176
9/12/2016,162
9/12/2016,153
9/12/2016,127
9/12/2016,100
9/12/2016,99
9/12/2016,98
9/13/2016,97
9/13/2016,98
9/13/2016,98
9/13/2016,98
9/13/2016,98
9/13/2016,100
9/13/2016,107
9/13/2016,129
9/13/2016,167
9/13/2016,192
9/13/2016,211
9/13/2016,215
9/13/2016,223
9/13/2016,225
9/13/2016,223
9/13/2016,209
9/13/2016,195
9/13/2016,177
9/13/2016,177
9/13/2016,179
9/13/2016,182
9/13/2016,143
9/13/2016,133
9/13/2016,133
9/14/2016,132
9/14/2016,132
9/14/2016,133
9/14/2016,134
9/14/2016,134
9/14/2016,135
9/14/2016,141
9/14/2016,160
9/14/2016,206
9/14/2016,229
9/14/2016,243
9/14/2016,241
9/14/2016,238
9/14/2016,237
9/14/2016,235
9/14/2016,228
9/14/2016,210
9/14/2016,156
9/14/2016,152
9/14/2016,141
9/14/2016,119
9/14/2016,99
9/14/2016,101
9/14/2016,101
9/15/2016,100
9/15/2016,100
9/15/2016,100
9/15/2016,100
9/15/2016,100
9/15/2016,100
9/15/2016,99
9/15/2016,99
9/15/2016,102
9/15/2016,101
9/15/2016,94
9/15/2016,94
9/15/2016,92
9/15/2016,93
9/15/2016,94
9/15/2016,93
9/15/2016,89
9/15/2016,82
9/15/2016,81
9/15/2016,81
9/15/2016,82
9/15/2016,83
9/15/2016,84
9/15/2016,84
9/16/2016,84
9/16/2016,84
9/16/2016,84
9/16/2016,84
9/16/2016,84
9/16/2016,85
9/16/2016,84
9/16/2016,86
9/16/2016,89
9/16/2016,91
9/16/2016,94
9/16/2016,89
9/16/2016,90
9/16/2016,93
9/16/2016,96
9/16/2016,94
9/16/2016,92
9/16/2016,90
9/16/2016,89
9/16/2016,89
9/16/2016,90
9/16/2016,93
9/16/2016,96
9/16/2016,96
9/17/2016,96
9/17/2016,96
9/17/2016,96
9/17/2016,96
9/17/2016,96
9/17/2016,96
9/17/2016,96
9/17/2016,94
9/17/2016,94
9/17/2016,97
9/17/2016,91
9/17/2016,89
9/17/2016,94
9/17/2016,95
9/17/2016,94
9/17/2016,92
9/17/2016,90
9/17/2016,88
9/17/2016,89
9/17/2016,88
9/17/2016,87
9/17/2016,87
9/17/2016,90
9/17/2016,90
9/18/2016,92
9/18/2016,92
9/18/2016,92
9/18/2016,92
9/18/2016,92
9/18/2016,90
9/18/2016,92
9/18/2016,92
9/18/2016,92
9/18/2016,94
9/18/2016,94
9/18/2016,97
9/18/2016,95
9/18/2016,95
9/18/2016,94
9/18/2016,94
9/18/2016,94
9/18/2016,95
9/18/2016,94
9/18/2016,93
9/18/2016,94
9/18/2016,94
9/18/2016,97
9/18/2016,97
9/19/2016,96
9/19/2016,96
9/19/2016,97
9/19/2016,97
9/19/2016,97
9/19/2016,98
9/19/2016,102
9/19/2016,130
9/19/2016,175
9/19/2016,207
9/19/2016,223
9/19/2016,239
9/19/2016,240
9/19/2016,244
9/19/2016,248
9/19/2016,243
9/19/2016,223
9/19/2016,195
9/19/2016,207
9/19/2016,193
9/19/2016,184
9/19/2016,116
9/19/2016,106
9/19/2016,102
9/20/2016,102
9/20/2016,102
9/20/2016,102
9/20/2016,103
9/20/2016,103
9/20/2016,102
9/20/2016,108
9/20/2016,129
9/20/2016,171
9/20/2016,190
9/20/2016,210
9/20/2016,228
9/20/2016,231
9/20/2016,231
9/20/2016,236
9/20/2016,224
9/20/2016,209
9/20/2016,183
9/20/2016,206
9/20/2016,206
9/20/2016,200
9/20/2016,130
9/20/2016,119
9/20/2016,116
9/21/2016,116
9/21/2016,116
9/21/2016,116
9/21/2016,116
9/21/2016,116
9/21/2016,115
9/21/2016,119
9/21/2016,141
9/21/2016,195
9/21/2016,219
9/21/2016,236
9/21/2016,236
9/21/2016,240
9/21/2016,242
9/21/2016,242
9/21/2016,234
9/21/2016,216
9/21/2016,204
9/21/2016,222
9/21/2016,207
9/21/2016,191
9/21/2016,125
9/21/2016,119
9/21/2016,112
9/22/2016,112
9/22/2016,111
9/22/2016,111
9/22/2016,111
9/22/2016,111
9/22/2016,113
9/22/2016,123
9/22/2016,143
9/22/2016,195
9/22/2016,212
9/22/2016,227
9/22/2016,239
9/22/2016,243
9/22/2016,240
9/22/2016,243
9/22/2016,229
9/22/2016,215
9/22/2016,199
9/22/2016,227
9/22/2016,232
9/22/2016,225
9/22/2016,147
9/22/2016,141
9/22/2016,140
9/23/2016,139
9/23/2016,138
9/23/2016,138
9/23/2016,138
9/23/2016,138
9/23/2016,139
9/23/2016,153
9/23/2016,166
9/23/2016,204
9/23/2016,222
9/23/2016,228
9/23/2016,234
9/23/2016,240
9/23/2016,240
9/23/2016,238
9/23/2016,237
9/23/2016,232
9/23/2016,202
9/23/2016,193
9/23/2016,186
9/23/2016,179
9/23/2016,155
9/23/2016,140
9/23/2016,143
9/24/2016,143
9/24/2016,141
9/24/2016,141
9/24/2016,141
9/24/2016,141
9/24/2016,141
9/24/2016,143
9/24/2016,147
9/24/2016,190
9/24/2016,223
9/24/2016,215
9/24/2016,198
9/24/2016,198
9/24/2016,212
9/24/2016,197
9/24/2016,181
9/24/2016,160
9/24/2016,147
9/24/2016,136
